word,label,polarity,ratio,count,intensity,pos_score,neg_score
늪/NNG;벗어나/VV;못하/VX,1,0.8473586967548892,11.191245308237756,43,11.191245308237756,113.15521488712265,10.111047677940748
경기/NNG;침체/NNG;빠지/VV,1,0.8437489441208399,10.946687460324764,441,10.946687460324764,108.93450876266668,9.951367402923445
침체/NNG;빠지/VV,1,0.8424062541919105,10.858206320459571,1669,10.858206320459571,110.0425525436334,10.134505580013318
늪/NNG;헤어나/VV;못하/VX,1,0.8413735173045361,10.791037248285848,66,10.791037248285848,107.89518292388378,9.998592391201585
아직/MAG;침체/NNG,1,0.8400771549760084,10.70779150738077,47,10.70779150738077,105.64507700641782,9.866187339714054
길/VA;침체/NNG,1,0.83831139002684,10.596276062653908,38,10.596276062653908,103.40757470206574,9.758860008047641
경기/NNG;침체국면/NNG;빠지/VV,1,0.8369927751605651,10.514375772326538,52,10.514375772326538,103.24748373235921,9.81964939888328
경기/NNG;침체/NNG;벗어나/VV,1,0.8358033547880545,10.441485974592606,161,10.441485974592606,102.89139884672387,9.85409539380609
경기/NNG;침체/NNG;빠지/VV;않/VX,1,0.8354289202764692,10.418730581224118,34,10.418730581224118,104.63095098257402,10.042581499432604
이미/MAG;침체/NNG,1,0.8332425443515068,10.287645082918747,94,10.287645082918747,100.69031539016318,9.787498944471357
침체/NNG;공포/NNG,1,0.833011639083549,10.273976541043554,145,10.273976541043554,102.90140153809918,10.015732577061852
침체/NNG;가능성/NNG;높/VA,1,0.8329304657016553,10.269179278735098,170,10.269179278735098,100.63175872884803,9.799396426667828
침체/NNG;벗어나/VV,1,0.8323215474424408,10.233322790503792,569,10.233322790503792,103.27536658754443,10.092065764150504
침체/NNG;빠지/VV;우려/NNG,1,0.8322161341617956,10.227138603953602,90,10.227138603953602,101.05874806640153,9.881429398769887
침체국면/NNG;빠지/VV,1,0.8317322591110577,10.198838753453408,180,10.198838753453408,98.88060154154918,9.695280407101977
침체/NNG;경기/NNG;침체/NNG,1,0.8317182583396671,10.198022055952144,91,10.198022055952144,101.61355782003048,9.964045700481991
침체/NNG;피하/VV,1,0.8315824523648343,10.190106088051277,131,10.190106088051277,99.44456898001717,9.758933628436308
경기/NNG;침체/NNG;공포/NNG,1,0.8313918099422553,10.179012685195083,109,10.179012685195083,102.04205952976821,10.024750207668353
경제/NNG;침체/NNG;빠지/VV,1,0.8312527453648673,10.170934422781452,468,10.170934422781452,102.1171871239481,10.040098862029833
침체/NNG;길/VA,1,0.8310755588230774,10.160658509459424,113,10.160658509459424,97.42535006441423,9.588487790797483
침체/NNG;불황/NNG,1,0.8301202674492283,10.105580857611924,33,10.105580857611924,98.19555327953502,9.716962801358443
경기/NNG;침체/NNG,1,0.8299599578302872,10.096391424684416,21390,10.096391424684416,103.91987935460759,10.292774416464923
예상/NNG;심각/NNG,1,0.8290572628586426,10.044928483739145,373,10.044928483739145,98.84874473147127,9.840661871459696
금융위기/NNG;심각/NNG,1,0.8280383254113813,9.987409077522154,105,9.987409077522154,96.77816708400525,9.690017334106797
경기/NNG;장기/NNG;침체/NNG,1,0.8270927009378051,9.934561657035971,41,9.934561657035971,98.10255793113167,9.874875341042586
깊/VA;침체/NNG,1,0.8264890999217578,9.90109363588545,55,9.90109363588545,97.23781588166331,9.820916704517902
탈출/NNG;못하/VX,1,0.8263902536623979,9.895632408309595,35,9.895632408309595,98.6040552738789,9.964401587015173
이미/MAG;경기/NNG;침체/NNG,1,0.8258663955912624,9.866780412490685,75,9.866780412490685,95.9794367653577,9.727533476254742
